mobile_model_name,cnt
ACTAB1022,1
ACTAB821,1
ADS1,2
ADVANCE 4.0 L2,2
AE9010,2
AGR-W09,1
AGS-L03,2
AGS-L09,5
AGS-L09 Mediapad T5,4
AGS-W09,23
AGS3-W09,1
ALE-L02,2
ALE-L21,3
ALE-L23,2
ALP-AL00,1
ALP-L09,2
ALP-L29,1
AM350,2
AM508,2
AMN-LX1,1
AMN-LX2,1
AMN-LX9,6
ANA-AN00,1
ANE-LX1,60
ANE-LX2,3
ANE-LX3,5
ANY-NX1,5
APOLLO,1
AQM-LX1,2
AQUOS SHL23,1
ARE-AL00,1
ARS-AL00,1
ART-L29,3
ART-L29N,1
AS993,4
ASTRO,1
ASUS_X00QD,1
ATH-AL00,3
ATH-UL01,3
ATH-UL06,2
ATU-L11,2
ATU-L21,2
ATU-L31,1
ATU-LX3,1
AUM-AL20,1
AUM-AL29,1
AUM-L41,2
AX1010,2
AX1065E,2
AX1070,2
AX680+,2
AX681,2
AX685,2
AX750,2
AX8,2
AX820,2
AX821,2
AX920,2
AX921,2
Access 50 4G,1
Action-X3,1
Active 1,1
Advance 4.0 L3,2
Advance 5.0 HD,1
Advance L5,3
AirTab M101W,2
Alba7Pie,1
Allure M1,1
Allure M3 Lite,1
Alpha,1
Alpha 21,2
Andromax B26D2H,2
Andy 4E4,2
Apollo,1
Apollo Lake Chromebook,1
Apollo Lite,1
Aqua Pro 4G,2
Aqua Strong 5.1,2
Aqua Strong 5.1+,1
Aquaris C,1
Aquaris E5,2
Aquaris M4.5,2
Aquaris M5,3
Aquaris U,2
Aquaris U Lite,2
Aquaris U Plus,2
Aquaris X5,2
Aquos SH-02F,2
Armor 11 5G,3
Armor 3,2
Armor 6E,2
Armor 7E,2
Armor 8,1
Armor 8 Pro,2
Armor 9E,1
Armor X3,1
Armor X5,5
Armor X7,1
Armor X7 Pro,2
Armor X8,6
Armor X9 Pro,1
Armor_X6,1
Astro,1
Astro 55R,12
Atlantic4G,1
Atom,2
Atom XL,2
Aura,2
Ax5s,2
B1-770,1
B110DL,4
B130DL,91
B131DL,156
B140DL,203
B1F,2
B1P,2
B1g,2
B2015,2
B2017G,3
B2021,1
B3-A10,2
B3-A32,2
B3-A40,2
B3-A50,1
B5032,1
BA520,6
BA611C,2
BAC-L21,1
BAC-TL00,3
BAH-L09,1
BAH-W09,2
BAH2-L09,2
BAH2-W19,6
BB2,7
BB4k,1
BBB100-2,1
BBB100-7,2
BC1s,1
BC2,1
BC2c,5
BC3,1
BD2P,2
BD3,2
BD4,1
BD4a,1
BD4h,3
BD4j,2
BE2011,5
BE2012,26
BE2013,19
BE2015,103
BE2025,64
BE2026,9
BE2028,67
BE2029,4
BE6,5
BE7,1
BERRY,2
BG2-U01,2
BG2-W09,2
BGO-DL09,2
BGO-L03,2
BISON,3
BKK-LX2,1
BKL-L09,3
BL155,1
BL6000 Pro,1
BLA-A09,2
BLA-AL00,2
BLA-L09,18
BLA-L29,3
BLADE 0820,2
BLADE A512,2
BLADE A602,2
BLADE A610,2
BLADE L7,2
BLADE V7 LITE,2
BLADE V9,1
BLL-L21,3
BLL-L22,1
BLL-L23,2
BLN-AL10,2
BLN-L21,5
BLN-L22,2
BLN-TL10,1
BND-AL10,1
BND-L21,10
BND-L34,4
BQ-6010G,1
BQ-6042L,1
BQ-6050,2
BQ-7098G,1
BQS-5020,2
BQS-5050,1
BQS-5520,2
BRQ-AN00,1
BTV-DL09,2
BTV-W09,2
BV0707,2
BV0710,2
BV0720,2
BV0730,2
BV4900,3
BV4900 Pro,3
BV4900s,2
BV5000,2
BV5500,2
BV5800,2
BV5900,2
BV6000,3
BV6300,3
BV6300Pro,1
BV6600,1
BV6600 Pro,1
BV6600E,1
BV7000 PRO,2
BV9600E,1
BV9700 Pro,2
BV9800 Pro,1
BV9900Pro,2
Be Pure Lite,2
Be Touch 2,2
Blade A3 2019,5
Blade A3 2020,2
Blade A3 2020RU,2
Blade A3 Lite,2
Blade A310,2
Blade A315,1
Blade A5 2019,1
Blade A5 2020,8
Blade A5 2020RU,1
Blade A51,4
Blade A510,2
Blade A511,1
Blade A601,2
Blade A7 2019,1
Blade A7 2020,1
Blade A7S 2020-T,1
Blade A7s,1
Blade A910,2
Blade L210,2
Blade L8,3
Blade V0720,2
Blade V0730,2
Blade V10 Vita,1
Blade V6 Plus,2
Blade V7,2
Blade V770,2
Blade X Max,2
Blade X9,2
Bonvi Note,2
Butterfly,3
C-8,2
C01 Plus,16
C1,1
C1 Plus,1
C10,2
C100,1
C106,3
C106-6,2
C106-9,2
C12,1
C19,2
C2,2
C2 Tennen,16
C20,10
C20 Pro,7
C21,7
C21 Plus,15
C21 Pro,5
C22,1
C30,2
C3600,2
C4,2
C5,2
C5 2019,2
C5 Endi,8
C5 Plus,1
C5 Pro,2
C5L,7
C5L 2020,4
C5L Max,44
C5S,2
C6 2020,2
C6502,2
C6602,2
C6603,2
C6606,2
C6742A,1
C6743,2
C6802,1
C6806,2
C6833,2
C6843,2
C6902,3
C6903,2
C6916,2
C6930,6
C6943,2
C6L,1
